,Score Compound,Score Negative,Score Neutral,Score Positive,Sentence
30,-0.8126,0.307,0.693,0.0,these range from the outright colonization of territories and reckless pursuit of shortterm economic 10  introduction  goals to cultural illiteracy and disrespect
31,-0.8934,0.543,0.457,0.0,the resulting injustice poverty and totalitarianism are now exploding in our faces
32,0.0,0.0,1.0,0.0,it continues with memories of later years in england where i found and published a most exquisitely illustrated persian manuscript dated 1410
33,0.4215,0.086,0.746,0.169,11  introduction  i then introduce you to a daring and imaginative poet of twentiethcentury iran forough farrokhzad discussing her poetry as well as the way my friends and i in high school reacted to her life and death
34,0.0,0.0,1.0,0.0,i have picked the stars from the midsummer nights in the shiraz of my childhood and youth and the jasmine blossoms from grandmas prayer rug where she kept them
35,0.25,0.053,0.861,0.086,12  1 the jasmine the stars  the grasshoppers  in shiraz of the 1960s where i grew up summer nights were a journey with a few clear stops
36,0.7579,0.0,0.78,0.22,in his singing there was a sense of peace with the night that made me grateful for being who i was and where i was
37,0.2023,0.0,0.957,0.043,she would walk around the yard quietly water the plants and pick little white jasmine 14  the jasmine the stars  the grasshoppers  blossoms from the tree that had climbed one wall of the yard all the way to the top
38,0.3182,0.0,0.901,0.099,my grandmother somehow associated these ﬂowers with prayer and collected fresh jasmine to keep inside her prayer rug until the next morning
39,-0.3612,0.116,0.884,0.0,i would go inside keep the windows closed and be suspicious of every green spot that appeared to be moving
40,0.4588,0.0,0.625,0.375,and glad to be heading home
41,0.0,0.0,1.0,0.0, then i got to the cash register where a bubbly young girl with an extraordinary pair of green earrings was the cashier
42,0.6369,0.0,0.877,0.123,i am recounting the incident merely to explain what i mean by the power of the storyline in the background the one that takes away our freedom to imagine each other
43,0.25,0.0,0.867,0.133,the slanted vision of books such as rlt is not to be taken lightly
44,0.3818,0.0,0.915,0.085,the blurb promises the book to be an exploration of the resilience of these people in the face of tyranny and a celebration of the liberating power of literature
45,0.0,0.0,1.0,0.0, in fact the book can be many things to many people
46,0.0,0.0,1.0,0.0,graham chapel where the presentation was held was ﬁlled with a large audience many of them iranian americans
47,0.128,0.169,0.594,0.237,on the one hand rlt critiqued totalitarianism and endorsed the transformative and liberating power of literature
48,0.5486,0.09,0.711,0.199,now this book which meant to celebrate the power of literature denied and erased this most prevalent cultural behavior in the society i knew so well
49,-0.7184,0.219,0.781,0.0,even the revolutionary guard who came to arrest a member of the armed opposition hid behind a woman servant in the authors house for fear of being shot
50,0.0772,0.235,0.594,0.171,with no reference to serious problems that plagued iran under the shah the revolution itself appeared to have been motivated by a longing for fanaticism and a dislike for freedom and modernization
51,0.0,0.0,1.0,0.0,a  on the day rlt was to be introduced in our assembly series i walked through the campus toward the chapel where i would make my introductory remarks
52,0.0,0.0,1.0,0.0,the doors of the chapel were open and people were coming in
53,0.0,0.0,1.0,0.0,the chapel was now full
54,0.0,0.0,1.0,0.0,these latter sat at tasteful small tables with fragile candles on terraces overlooking the pool serving homemade wine
55,0.0,0.0,1.0,0.0,a  the authors presentation that day was as much about the dark deeds of the iranian revolution as it was about the healing power of literature
56,0.5719,0.0,0.817,0.183,what they had read as a personal memoir moved between the liberty of writing ﬁction and the authority of an allknowing political observer
57,0.34,0.0,0.882,0.118,it referred to the instruction on the wall of cincinnatus cs jail a prisoners meekness is a prisons pride
58,-0.3865,0.076,0.924,0.0, although i am not particularly fond of nabokov if i were to choose one of his works to talk about it would most likely be invitation to a beheading rather than lolita
59,-0.1675,0.166,0.658,0.176,so i picked another quote from the same novel rule number six for the prisoners it is desirable that the inmates should not have dreams at all
60,0.6908,0.0,0.787,0.213, and thankfully i could end with something good that rlt had brought to our attention the uplifting and liberating power of literature
61,0.4019,0.0,0.912,0.088,in retrospect there should have been a postlecture round table where the author would listen to comments from a smaller audience who had read the book with special attention
62,0.8449,0.0,0.828,0.172,and i could have taken o my hostesss hat to ask the question that had been on my mind all along if world literary masterpieces are so entirely universal what is so remarkable about reading lolita in the city of tehran
63,-0.2732,0.231,0.769,0.0,others would develop a deep sense of guilt
64,0.0,0.0,1.0,0.0,it was as if the image of an entire nation had been placed in my custody
65,0.0,0.0,1.0,0.0,where did you get it
66,0.3477,0.109,0.658,0.233, he most probably had forgotten the joke he had played on me at lunch altogether
67,-0.3182,0.133,0.867,0.0,i ignored the question and refreshed his memory do you know where this spoon was made
68,0.0,0.0,1.0,0.0, well the caption says 500 bce iran
69,-0.7906,0.184,0.816,0.0,you will see once you put the two incidents together how i was arriving at a sad and inevitable conclusion whether i wanted it or not i had entered a cultural war zone
70,-0.4404,0.097,0.903,0.0,she spent the next halfhour trying to explain to me what signs of the zodiac were amidst my frantic attempts to clarify that that was not my question
71,-0.7269,0.184,0.816,0.0,finally exasperated with her own failure to make me understand her point she pleaded with her son perhaps you can tell fatemeh what a sign of the zodiac is
72,0.7269,0.052,0.761,0.186, he mumbled a few unclear words and quickly suggested that the three of us take a walk in the garden so that we could enjoy the beautiful autumn afternoon before dark
73,-0.2263,0.275,0.725,0.0,but the situation was rather awkward
74,0.5859,0.0,0.888,0.112,the beauty of the painting and the possible age of the manuscript were so striking that i quickly closed the book and put it back where i had picked it up
75,0.5574,0.0,0.854,0.146,in the brief question and answer following the talk one iranian american described the day as being the proudest of her life
76,-0.7269,0.289,0.711,0.0,in the case of presentday iran the recent nuclear dispute adds immediacy to the sense of threat
77,-0.3818,0.248,0.619,0.133,was it 29  the jasmine the stars  the grasshoppers  poverty a lack of education personal devotion
78,-0.2023,0.162,0.714,0.124,when the baby was born the family watched her growth in case the fasting had hurt her
79,0.34,0.038,0.879,0.082,only after i lived elsewhere did i realize that my students can learn from the fact that our poets lived outside books and literature classes that when i was feeling low i would visit the garden where my favorite fourteenthcentury ghazal writer hafez was buried instead of drinking or isolating myself
80,-0.8059,0.447,0.553,0.0,next she would search her mind for a really bad punishment
81,0.0772,0.0,0.929,0.071,i bent over and whispered in her ear maman do you want me to read you some poetry
82,0.3612,0.0,0.839,0.161, i was ready to repeat the question at least three or four times
83,0.0,0.0,1.0,0.0,where are you sadi
84,0.0,0.0,1.0,0.0, i thought
85,0.7812,0.0,0.787,0.213,farrokhzad was in real life the same as she had been in her poetrybold imaginative curious 33  the eternal forough  full of the urge to live and certainly not afraid of death
86,0.4927,0.089,0.727,0.184,and yet now that i think about that day the most amazing part of it was not that a physics teacher considered it important to share the news of a poets death with his ﬁfteenyearold students
87,0.0498,0.139,0.714,0.146,the most amazing thing is that when he announced farrokhzads death not a single one of us said who is forough farrokhzad
88,0.1419,0.0,0.92,0.08, no doubt some of us had read her more extensively than others but everyone knew who she was
89,0.34,0.0,0.876,0.124,indeed this would be an exceptional fairy princess one whose robust presence did not remain captive to legends
90,0.5719,0.0,0.921,0.079,a book celebrating the power of literature set in contemporary iran and written by a professor of literatureall of which describe reading lolita in tehran rlt would seem to be the most likely source for reading about an iranian woman poet of farrokhzads import
91,-0.5859,0.111,0.857,0.031,neither would the book clarify that living in the immediate aftermath of a revolution and a war might explain the shifting of attention in the 1980s to matters more pressing than literature
92,0.4019,0.054,0.835,0.111,i did not buy the book so i cannot comment on how good the 36  the eternal forough  translation was but its existence alone indicated an audience eager to read ecos master work even in the warstricken iran of the late 1980s
93,-0.1655,0.046,0.954,0.0,the issue here is that a lack of speciﬁcity turns rlt into the dark house where the reader has little choice but to feel his or her way around the elephant that is postrevolutionary iran
94,0.8139,0.03,0.731,0.239,he fostered discussion valued our opinions and gave us each a gift that we carry to this day the desire to look for candles no matter where they might be
95,-0.5423,0.184,0.736,0.08,exasperated by western scholarly studies of the reasons for our lagging behind we know in our guts that something went wrong for muslim civilization to have come crashing down after its glory in the middle ages
96,-0.3612,0.168,0.744,0.087,this decontextualized and ahistorical tale of our failure which always included a healthy dose of shame and selfdoubt has been further seasoned with guilt after 911
97,0.3182,0.107,0.76,0.133,apparently we had had post oces when no one else had we had minted coins before others had thought of the idea and cyrus the great had freed the captive jews of babylon which meant we were genetically puriﬁed of racial prejudice forever
98,0.2732,0.0,0.9,0.1,what is more she had the guts to say it out loud with the biting humor that came with conviction
99,0.7351,0.06,0.723,0.217,in a poem called the bejeweled land she lashed out at the state propaganda machine o how comfortable i am in the loving arms of the motherland
100,0.8176,0.0,0.769,0.231,the paciﬁer of the glorious historical past the lullaby of civilization and culture and the rattling noise of the ratchet of law o how comfortable i am
101,-0.4767,0.094,0.906,0.0,in this infantile state of induced happiness the resident of the bejeweled land incidentally recognized everything that was wrong with the 40  the eternal forough  country of the roses and nightingales
102,0.1901,0.097,0.76,0.143,it is a question that mostly puzzles my western audience but might in fact concern those who share my cultural heritage as well particularly those who nurse a self guilty of backwardness
103,0.1027,0.061,0.869,0.07,the question is this how could a person as complicated and open as farrokhzad be so widely read and appreciated in a country such as iran a place with centuries of patriarchy a relatively high rate of illiteracy and a deeply traditional culture
104,0.0772,0.096,0.797,0.106,i talked about everything from the book of the year and our notorious festival of art jashne honar to letters and phone calls from the audience
105,0.4019,0.0,0.903,0.097,in fact i kept a tape recorder under the front seat of my car in case i happened to run into an interesting person to interview
106,0.4939,0.0,0.789,0.211,in fact he had taken care to be dressed properly for the occasion
107,-0.4588,0.333,0.667,0.0,what a thoughtless questionof course he had
108,-0.0772,0.196,0.667,0.138,living in an undemocratic society for example is taken as a sign of inferiority and lack of intelligence
109,-0.296,0.239,0.761,0.0,no one ever taught them to question things
110,0.647,0.075,0.721,0.204,the saddest part is not degrading twothirds of the world but the selfdeprivation of the onethird that views itself as too superior to learn from traditional societies
111,0.8126,0.0,0.448,0.552,the sense of freedom and power was exciting
112,0.0,0.0,1.0,0.0,the chancellor left as soon as the show ended and i started looking around to ﬁnd out where m
113,-0.296,0.688,0.312,0.0,was hiding
114,-0.4023,0.137,0.863,0.0,despite all my intellectual capacity and ambition it had never occurred to me to question my aunts projection
115,0.2732,0.0,0.811,0.189,such is the power of accepted tradition in all cultures
116,0.0,0.0,1.0,0.0,the traditions dier but the power remains the same
117,-0.5994,0.112,0.888,0.0,little did i know that a war would break out between iran and iraq and i would not see my daughter only eight years old at the time for another seven years
118,0.0,0.0,1.0,0.0,it very much mattered now that i had divorced where i lived when i came home and whom i was seen with
119,0.0,0.0,1.0,0.0,she was and still is the embodiment of the concept of being there for you
120,-0.3557,0.248,0.623,0.129, besides she could always think clearly no matter what disaster we had to deal with
121,-0.4588,0.188,0.812,0.0,when divorcerelated frustrations drove me up the wall i would call minoo to meet
122,0.0,0.0,1.0,0.0,she was now living in orange county california and was part of a feminist reading group that met monthly to discuss their latest reading
123,0.4404,0.08,0.759,0.16,for the next hour we just held hands and walked around the building in silence aimless and dizzy with joy
124,0.0772,0.0,0.933,0.067,we could still say to each other in one sentence what we would explain to others in a paragraph
125,-0.4019,0.119,0.881,0.0,they could open their eyes to see her for who she was or close them and sink into their distorted fantasies
126,-0.296,0.167,0.675,0.159,human sexuality is complicated and detecting its abuse is a challenge particularly during times that bring shifts in cultural values
127,-0.7964,0.283,0.717,0.0,for example nassrin one of the students remembers a painful incident of abuse at age eleven by a young uncle
128,-0.4939,0.151,0.781,0.068,the reader predisposed to accept the stereotype of the muslim male as a sexual oppressor is unlikely to question the relevance of this individual crime to the overall bankruptcy attributed to muslim morality
129,-0.9081,0.639,0.361,0.0,his death therefore brought a sadness tinted with fear and uncertainty
130,-0.7269,0.328,0.556,0.117,rlt describes the chanting breast beating and crying for taleqani not with reference to their exaggerated expression of grief but as the desperate orgiastic pleasure of this form of public mourning
131,0.0808,0.083,0.797,0.12, the crowds twisted intention is summed up when the mourning ceremony is depicted as the one place where people mingled and touched bodies and shared emotions without restraint or guilt
132,-0.8442,0.259,0.741,0.0, the reader is told of a wild sexually ﬂavored frenzy in the airwild the magical word that captures the crude primitive and dangerous all at once rlt 90
133,-0.3818,0.129,0.805,0.066,many scholars of the middle east themselves of western or eastern origin have interrupted the romantic image of the oppressed female in seclusion by showing that some women might in fact choose to wear the veil
134,-0.1027,0.085,0.915,0.0,or is this because of the warwe are supposed to see the extremes and the exaggerated
135,0.0,0.0,1.0,0.0,it depicted an entire wall covered with hundreds of little posters of one of the candidates in clerical outﬁt and a single woman passing by rather closer to the camera than the posters and apparently indierent to both
136,0.8934,0.059,0.585,0.356,yes women would like to reform electoral law and various other legal codes in iran to get better representation and yes they are still involved in various struggles to improve their lot
137,0.4576,0.0,0.87,0.13,what subject could be more interesting than women and in this case they seemed to have selected a very relevant topic
138,0.9022,0.0,0.518,0.482,alice has a naturally beautiful body she takes care of well by dancing exercise and good eating
139,0.0,0.0,1.0,0.0,it is our way of coming to terms with dierences
140,0.0498,0.118,0.757,0.126, it is a very interesting observation and her way of saying we are guilty of the same thing ourselves
141,0.2263,0.0,0.95,0.05,the latest publication in this genre is the almond a semiautobiographical exploration of sexual freedom that according to one of our national newspapers has sold 50000 copies in france since editions plon brought it out last year
142,0.7964,0.0,0.764,0.236,but of course our fortysomething north african author who goes by the pseudonym nedjma has a purpose grander and nobler than a desire to titillate
143,0.4939,0.085,0.785,0.13, as she said in a recent interview by portraying a woman enjoying the pleasures of the ﬂesh she wanted to both celebrate the body as an expression of life and to strike a blow against the centuriesold repression of muslim women
144,0.6038,0.136,0.408,0.457, please feel free not to be surprised
145,-0.6369,0.208,0.792,0.0,nedjma is not the ﬁrst writer to abuse the sexual intrigue associated with the mistreated eastern woman
146,0.5423,0.054,0.822,0.124,if the newspaper reporter who wrote about the book had taken the trouble to do his homework he would have found numerous arabic works on sex and sexuality ranging from purely technical and medical guides to sociopolitical or ethical approaches to entertaining kama sutras
147,0.4404,0.0,0.854,0.146,in the case of native lineage particularly one not hampered by misplaced sympathies the odds will improve signiﬁcantly
148,0.0772,0.0,0.698,0.302,you are the authority
149,-0.7906,0.271,0.657,0.071,before we catch our breath she has turned into a sociologist the arab world is like a sick old man consumed by gangrene illiteracy poverty dictatorships fundamentalism
150,-0.7845,0.156,0.814,0.03, then she adds a touch of psychology love is only possible when women realize they are not there to be legally raped and men understand that a woman is 55  the eternal forough  not a slave or an inferior being
151,0.0,0.0,1.0,0.0, and here comes the personally contributed discipline of psychohistory presumably based on her observations of people in her native north african hometown
152,-0.5859,0.241,0.759,0.0,the message can come across unambiguously muslims religious conviction is a big fraud
153,0.8934,0.0,0.761,0.239,within the sanctuary 56  the eternal forough  she takes her readers on a fascinating tour of frozen seasons that come to life with the warmth of love and back to the fragrant core of a fertilized egg
154,-0.1027,0.06,0.888,0.052, the poem opens with the building of the basic structures of the sanctuary the forbidding walls that might at ﬁrst seem to put her in captivity now forbidding walls rise again in the silent night like plants guarding the borders of my loves state
155,0.5267,0.0,0.805,0.195,but her approving tone shows that she has built the wall to protect her space
156,0.5132,0.024,0.901,0.075,it is the beginning return with me to that star return with me to that star far away from the frozen seasons of the earth and its ways to measure and understand where no one fears light 57  the eternal forough  but like all signiﬁcant journeys the main move is to cross the inner borders and access the core of life itself
157,0.0,0.0,1.0,0.0,this is where the glow of life can be detected because artiﬁcial compartmentalization has not yet prevailed
158,0.9485,0.028,0.801,0.171,the child born here can be jesus the one who embodied the miracle of life let me conceive by the moon in the safety of the night let me be ﬁlled by ﬁne raindrops newly beating hearts by the weight of unborn infants perhaps my love could be the cradle for another jesus  58  3 my uncle the painter  once when my uncle was in charge of the army personnel oce in shiraz of the 1960s an ocer walked into his room and approached the desk with a note from an inﬂuential superior
159,0.2641,0.117,0.697,0.186,but this is how i want you to meet my maternal uncle the painter in his elegant military uniform completely unimpressed with corrupt power
160,-0.8576,0.32,0.68,0.0,he was a master of light and shade but there are no bright days in his landscapes after her death
161,0.3818,0.041,0.862,0.097,he cared to know how much leave time they each had left where they were stationed and how they were fed and treated during their military service
162,0.0,0.0,1.0,0.0,if that were not the case it would be an unreal country an invented place a fantasy
163,0.3455,0.048,0.842,0.111,no matter where i live and what i do that star is going to make me smile and ﬁnd my way
164,-0.5972,0.176,0.763,0.062,it is not clear why nassrin feels her fathers act of marrying her mother is a betrayal of her and her family as well as his own religious conviction
165,0.0,0.0,1.0,0.0,even then this person who once taught math and science is not able to dierentiate between the dishes that he lumps under the term french food rlt 54
166,0.4404,0.076,0.733,0.191,for example nassrin is convinced of her mothers sexual repression and tells the crowd in the reading group she wishes her mom would commit adultery or something rlt 54
167,0.0,0.0,1.0,0.0,speaking of her fathers family instead of dad grandma or aunt which a girl in nassrins situation would use she speaks of the man whose sisters and mother all wore the chador rlt 53
168,0.3818,0.0,0.894,0.106,in case the term might be misread and at times it has beenthe muslim scripture makes a clear statement in this particular case
169,0.6486,0.105,0.647,0.248,the occasion i speak of was a rather large family gathering at which two relatives had started a passionate discussion over the recent death of a dear friend
170,0.8519,0.0,0.712,0.288,he had apparently been a respected member of the shiraz bahai community the religion that views itself as a natural perfected and ﬁnal state of islam
171,0.34,0.047,0.855,0.098,that day he must have sensed the confusion that i felt inside because he said with a smile as he bent over to oer me a piece of his peach fortunately our closet is not large enough to keep god locked up inside
172,0.296,0.0,0.872,0.128, i do not think i understood all of what the joke meant at the time
173,0.0,0.0,1.0,0.0,as i grew older my poets picked up where my uncle had left o
174,0.0,0.0,1.0,0.0,it gives men of mr
175,0.6249,0.0,0.863,0.137,bahris type a level of supremacy that makes loving male family members teachers cousins neighbors or colleagues invisible unimaginable to the point that the reader does not even think to ask where are they
176,0.4588,0.0,0.885,0.115, the chapter that you are reading then is my brief counterorientalist narration of decent iranian manhood and it is dedicated to my uncle
177,0.4847,0.071,0.782,0.148,a group of christian warriors sought salvation in recovering parts of the kingdom of christ though christ had never preached war in his lifefrom the undeserving saracens who now controlled a good deal of it
178,-0.9201,0.27,0.694,0.037,horror stories ranging from killing and destruction by the crusaders to burning young boys at the stake were circulating although mercifully no one could read the detailed reports of embedded journalists online the next day while the bodies were still warm
179,0.0,0.0,1.0,0.0,the khan had sent emissaries to the court of khwarazm shah a king who ruled over territories that are today mostly in northern and central iran
180,-0.1491,0.154,0.705,0.141,though this might come as a shock in the midst of all the killing and turbulence a good deal of which was fueled by religious dierence attar managed to believe that nonmuslims were not evil people
181,0.4939,0.0,0.756,0.244,god told him to go to a certain obscure temple in anatolia and look inside
182,0.7096,0.076,0.68,0.244,if you display kindness in an antagonistic situation someone present will give you a smile and a compliment ﬁt for prophets you have come in order to connect
183,0.8074,0.0,0.617,0.383, obviously not all iranians or muslims share the openness and clarity of vision that attar and rumi display
184,0.5859,0.0,0.888,0.112,like the birds in the story who seek their king a metaphor for the truthgod you have to seek the truth during the journey that is your life by building on the smallest moments of manifestation that you personally uncover
185,0.6096,0.0,0.892,0.108,so we reward scientists who give us the theoretical foundation for building things engineers who translate these theories into actual tools and business specialists who tell us how to sell what has been made
186,0.0,0.0,1.0,0.0,we understand moving forward in terms of the power to open up unravel and demystify
187,0.6808,0.104,0.642,0.254,credible academics are to keep altogether aloof on the subject unless they are interested in dissecting the divine that comes with the express agreement that death has occurred
188,0.4215,0.0,0.877,0.123,for in their current state these societies have been disembodied of their treasures which have been replaced with unrelenting religious fanaticism
189,0.8834,0.035,0.678,0.287,there was such a teasing playful quality to their words such joy in the power of language to delight and astonish the book says of rumi hafez and attar
190,-0.7579,0.245,0.755,0.0,in that case coming across the mournful announcement of the death of persian literature is for you the end of the story
191,-0.7264,0.217,0.783,0.0,i am actually aware of one group particularly vulnerable to the new orientalist declaration of the death of culture and literature in contemporary iran
192,-0.2382,0.155,0.747,0.097,the impact of this powerful narrative on most of us is such that the deepened sense of shame and guilt can be felt even in brief social encounters
193,0.0,0.0,1.0,0.0,we stand a mere inch away from being perceived as accomplices in crimes against humanity
194,0.1584,0.059,0.865,0.076,so as members of the iranian american immigrant community here in the united states we are not quite sure where to place our modern educated selves in relation to our partimpressive partshameful cultural heritage
195,0.0,0.0,1.0,0.0,what has given the prayer rug the uncontested power to limit who he can be is the theory of the binary opposition i mentioned
196,0.0772,0.0,0.939,0.061,ghazali wrote with authority on many subjects and taught at the most prestigious university of his time the nizamieh in baghdad
197,0.4404,0.073,0.792,0.135,and in the unlikely event that he made the eort and understood ghazali i suspect he would consider the great theologian an exception to his theory
198,0.5574,0.0,0.816,0.184,i am not suggesting here that ghazali places the power of human rationality above the divine power
199,-0.5719,0.179,0.821,0.0,but that is where the misunderstanding begins in looking at the two forces in a solely hierarchical relationship
200,0.0,0.0,1.0,0.0,the interpretation can in fact be taken to a further more radical conclusion
201,-0.631,0.157,0.806,0.037,aql as far as they are concerned is 76  my uncle the painter  this frowning conceited authority that knows how to ﬁnd fault with things and whose presence is absolutely necessary
202,0.4927,0.0,0.724,0.276,a more interesting question is why the suﬁs give ishq such complete supremacy
203,-0.2263,0.137,0.863,0.0,many of the building blocks used to erect the ediﬁce are quranic edicts
204,0.2732,0.0,0.925,0.075,the quran also declares that in preeternity god spoke to the seed of adam the core essence of all our beings and asked am i your lord
205,0.0,0.0,1.0,0.0, according to muslim scripture in that state of preexistential existence we responded yes
206,0.0,0.0,1.0,0.0, suﬁs label this brief exchange the covenant
207,-0.0711,0.264,0.495,0.241,this is not about sin obedience or punishment
208,0.7845,0.0,0.537,0.463,all sojourners need peace and justice for themselves and others
209,0.0,0.136,0.728,0.136,that is where the true diculty lies what we need to remake and piece together is ourselves
210,-0.3612,0.143,0.857,0.0,that is where the emerald of ishq comes in handy to deter the dragon of doubt
211,0.4019,0.064,0.807,0.13,ishq however reminded my uncle of the grave powers that come with the glory of a highranking position particularly when the authorities at the top may not always be moving in the direction of your choosing
212,-0.3612,0.135,0.865,0.0,this unrest was manifested at ﬁrst in sporadic confrontations with the shahs armed forces and secret police
213,-0.8225,0.272,0.728,0.0,while participants in armed struggle were arrested jailed or executed attempts were also made to alleviate the discontent by introducing minor political reform into the system
214,0.0,0.0,1.0,0.0,my uncle and his wife have since moved back to tehran where their daughter and son live with their own families
215,0.8934,0.0,0.627,0.373,we both knew that the prophetic attribution was a loving stretch of the imagination meant to express his admiration and gratitude
216,-0.7559,0.254,0.746,0.0,then she turned to both of us rather suddenly saying no one climbs up my windownot a thief not a lover
217,0.4588,0.0,0.4,0.6, we laughed
218,-0.0772,0.051,0.949,0.0,her works were among the ﬁrst feministconscious enunciations that appeared in the postrevolutionary period in response to limitations imposed on women by the state ideology
219,0.743,0.0,0.814,0.186, it goes on to list other prominent women writers such as ravanipur behbahani and danishvar who responded to these limitations with their unmistakable voices and above all with their lush imaginations and creative energy
220,0.2023,0.043,0.888,0.069,i would slightly rephrase the blurb while parsipurs writing pushed strongly against the limitations imposed on women by the state ideology the signiﬁcance of her literary contributions transcends that
221,0.0,0.0,1.0,0.0,what kind of a girl has he taken her for
222,0.0,0.0,1.0,0.0,and yet the biggest trial women face in the deceptively changing world is not to understand what it is that everyone wants from them
223,-0.7096,0.296,0.704,0.0,the biggest trial is to remain themselves in the midst of the confusion and the chaos
224,0.0,0.0,1.0,0.0,in women without men the protagonists have asked and answered that question
225,0.743,0.0,0.741,0.259,the ordinariness they share with each other and with many women elsewhere in the world gives them a great power
226,-0.8633,0.327,0.595,0.078,she risks being killed just so she can at last air her frustration about her sisterinlaw parvin who has not been appreciative of her kindness and her cooking
227,-0.296,0.196,0.804,0.0,faizehs sisterinlaw has accused her of not being a virgin
228,0.0,0.0,1.0,0.0,one thinks the word refers to a sheet and the other to a hole
229,0.4682,0.166,0.465,0.369,in this case ignorance is not the worst problem either
230,0.0,0.0,1.0,0.0,now it turns out to be a hole
231,0.3421,0.055,0.817,0.128,and because the authority in charge here is parsipur not god or men munis simply gets up and roams around the streets of tehran as if she had not died
232,0.7845,0.0,0.655,0.345,after a month she is calm wise and ready to pick up her life where she left o
233,-0.2263,0.217,0.621,0.161,faizeh ﬁnds him with the body and helps cover up the crime
234,-0.7589,0.482,0.518,0.0,cooperation in murder does not produce the desired outcome
235,-0.743,0.229,0.696,0.075,back to the story faizeh is devastated by the news of amirs marriage to another woman and munis returns from her second death only stronger than before
236,0.6884,0.0,0.857,0.143,the ﬁrst thing she tells faizeh is that despite her round face she was never stupid and the second is that faizeh should learn to live with her sisterinlaw parvin being a better cook than she
237,-0.5994,0.145,0.855,0.0,he visits iran from time to time and during the last years of world war ii brings his wife and two boys with him
238,-0.2732,0.172,0.705,0.123,then the war ends and fakhr aldin takes his wife and children and returns to the united states
239,-0.3237,0.176,0.737,0.087,building on this faulty foundation rlt adds a number of its own assumptions
240,-0.2023,0.079,0.863,0.058,at the same time the book judges the current state of the persian novel which it does not examine to be poor and considers the condition to be the literary implication of reality in persian society
241,0.0,0.0,1.0,0.0,where do we place them in our perception of democratic societies
