,Key,Line
42,wall,"it referred to the instruction on the wall of cincinnatus c’s jail: ‘‘a prisoner’s meekness is a prison’s pride.’’ although i am not particularly fond of nabokov, if i were to choose one of his works to talk about, it would most likely be invitation to a beheading rather than lolita."
43,inmates,"so i picked another quote from the same novel, rule number six for the prisoners: ‘‘it is desirable that the inmates should not have dreams at all.’’ and, thankfully, i could end with something good that rlt had brought to our attention: the uplifting and liberating power of literature."
44,where,"in retrospect, there should have been a postlecture round table where the author would listen to comments from a smaller audience who had read the book with special attention."
45,question,"and i could have taken o√ my hostess’s hat to ask the question that had been on my mind all along: if world literary masterpieces are so entirely universal, what is so remarkable about reading lolita in the city of tehran?"
46,question,"i ignored the question and refreshed his memory: ‘‘do you know where this spoon was made?’’ ‘‘well, the caption says 500 bce iran."
47,war,"you will see, once you put the two incidents together, how i was arriving at a sad and inevitable conclusion: whether i wanted it or not, i had entered a cultural war zone."
48,pleaded,"finally, exasperated with her own failure to make me understand her point, she pleaded with her son, ‘‘perhaps, you can tell fatemeh what a sign of the zodiac is.’’ he mumbled a few unclear words and quickly suggested that the three of us take a walk in the garden so that we could enjoy the beautiful autumn afternoon before dark."
49,situation,but the situation was rather awkward.
50,where,the beauty of the painting and the possible age of the manuscript were so striking that i quickly closed the book and put it back where i had picked it up.
51,question,"in the brief question and answer following the talk, one iranian american described the day as being the proudest of her life."
52,case,"in the case of present-day iran, the recent nuclear dispute adds immediacy to the sense of threat."
53,case,"when the baby was born, the family watched her growth in case the fasting had hurt her."
54,where,"only after i lived elsewhere did i realize that my students can learn from the fact that our poets lived outside books and literature classes, that when i was feeling low i would visit the garden where my favorite fourteenthcentury ghazal writer, hafez, was buried instead of drinking or isolating myself."
55,question,"i bent over and whispered in her ear, ‘‘maman, do you want me to read you some poetry?’’ i was ready to repeat the question at least three or four times."
56,death,"and yet, now that i think about that day, the most amazing part of it was not that a physics teacher considered it important to share the news of a poet’s death with his ﬁfteen-year-old students."
57,death,"the most amazing thing is that when he announced farrokhzad’s death not a single one of us said, ‘‘who is forough farrokhzad?’’ no doubt some of us had read her more extensively than others, but everyone knew who she was."
58,captive,"indeed, this would be an exceptional fairy princess, one whose robust presence did not remain captive to legends."
59,power,"a book celebrating the power of literature, set in contemporary iran, and written by a professor of literature—all of which describe reading lolita in tehran (rlt )—would seem to be the most likely source for reading about an iranian woman poet of farrokhzad’s import."
60,war,neither would the book clarify that living in the immediate aftermath of a revolution and a war might explain the shifting of attention in the 1980s to matters more pressing than literature.
61,where,the issue here is that a lack of speciﬁcity turns rlt into the dark house where the reader has little choice but to feel his or her way around the elephant that is postrevolutionary iran.
62,where,"he fostered discussion, valued our opinions, and gave us each a gift that we carry to this day: the desire to look for candles no matter where they might be."
63,guilt,"this decontextualized and ahistorical tale of our ‘‘failure,’’ which always included a healthy dose of shame and self-doubt, has been further seasoned with guilt after 9/11."
64,freed,"apparently, we had had post o≈ces when no one else had; we had minted coins before others had thought of the idea; and cyrus the great had freed the captive jews of babylon, which meant we were genetically puriﬁed of racial prejudice forever."
65,state,"in a poem called ‘‘the bejeweled land’’ she lashed out at the state propaganda machine: o, how comfortable i am in the loving arms of the motherland!"
66,law,"the paciﬁer of the glorious historical past the lullaby of civilization and culture and the rattling noise of the ratchet of law o, how comfortable i am!"
67,state,"in this infantile state of induced ‘‘happiness,’’ the resident of the bejeweled land incidentally recognized everything that was wrong with the 40  the eternal forough  country of the roses and nightingales."
68,guilty,"it is a question that mostly puzzles my western audience but might, in fact, concern those who share my cultural heritage as well, particularly those who nurse a self guilty of backwardness."
69,question,"the question is this: how could a person as complicated and open as farrokhzad be so widely read and appreciated in a country such as iran, a place with centuries of patriarchy, a relatively high rate of illiteracy, and a deeply traditional culture?"
70,notorious,"i talked about everything from the book of the year and our notorious festival of art, jashne honar, to letters and phone calls from the audience."
71,case,in fact i kept a tape recorder under the front seat of my car in case i happened to run into an interesting person to interview.
72,taken,in fact he had taken care to be dressed properly for the occasion.
73,taken,"living in an undemocratic society, for example, is taken as a sign of inferiority and lack of intelligence."
74,question,no one ever taught them to question things!
75,power,the sense of freedom and power was exciting.
76,where,"the chancellor left as soon as the show ended, and i started looking around to ﬁnd out where m. was hiding."
77,question,"despite all my intellectual capacity and ambition, it had never occurred to me to question my aunt’s projection."
78,power,such is the power of accepted tradition in all cultures.
79,power,the traditions di√er but the power remains the same.
80,war,"little did i know that a war would break out between iran and iraq and i would not see my daughter, only eight years old at the time, for another seven years."
81,where,"it very much mattered, now that i had divorced, where i lived, when i came home, and whom i was seen with."
82,disaster,"she was, and still is, the embodiment of the concept of ‘‘being there for you.’’ besides, she could always think clearly no matter what disaster we had to deal with."
83,building,"for the next hour we just held hands and walked around the building in silence, aimless and dizzy with joy."
84,sentence,we could still say to each other in one sentence what we would explain to others in a paragraph.
85,sink,"they could open their eyes to see her for who she was, or close them and sink into their distorted fantasies."
86,abuse,"human sexuality is complicated and detecting its abuse is a challenge, particularly during times that bring shifts in cultural values."
87,abuse,"for example, nassrin, one of the students, remembers a painful incident of abuse at age eleven by a young uncle."
88,crime,"the reader, predisposed to accept the stereotype of the muslim male as a sexual oppressor, is unlikely to question the relevance of this individual crime to the overall bankruptcy attributed to muslim morality."
89,where,"rlt describes the chanting, breast beating, and crying for taleqani not with reference to their exaggerated expression of grief but as ‘‘the desperate, orgiastic pleasure of this form of public mourning.’’ the crowd’s twisted intention is summed up when the mourning ceremony is depicted as ‘‘the one place where people mingled and touched bodies and shared emotions without restraint or guilt.’’ the reader is told of a ‘‘wild, sexually ﬂavored frenzy in the air’’—‘‘wild,’’ the magical word that captures the crude, primitive, and dangerous all at once (rlt, 90)."
90,seclusion,many scholars of the middle east (themselves of western or eastern origin) have interrupted the romantic image of the oppressed female in seclusion by showing that some women might in fact choose to wear the veil.
91,wall,it depicted an entire wall covered with hundreds of little posters of one of the candidates in clerical outﬁt and a single woman passing by rather closer to the camera than the posters and apparently indi√erent to both.
92,law,"yes, women would like to reform electoral law and various other legal codes in iran to get better representation, and, yes, they are still involved in various struggles to improve their lot."
93,case,"what subject could be more interesting than women, and in this case they seemed to have selected a very relevant topic."
94,guilty,it is our way of coming to terms with di√erences.’’ it is a very interesting observation and her way of saying we are guilty of the same thing ourselves.
95,repression,"but of course, our forty-something north african author, who goes by the pseudonym nedjma, has a purpose grander and nobler than ‘‘a desire to titillate.’’ as she said in a recent interview, ‘‘by portraying a woman enjoying the pleasures of the ﬂesh,’’ she wanted to both ‘‘celebrate the body as an expression of life and to strike a blow against the centuries-old repression of muslim women.’’ please feel free not to be surprised."
96,abuse,nedjma is not the ﬁrst writer to abuse the sexual intrigue associated with the mistreated eastern woman.
97,taken,"if the newspaper reporter who wrote about the book had taken the trouble to do his homework he would have found numerous arabic works on sex and sexuality, ranging from purely technical and medical guides, to sociopolitical or ethical approaches, to entertaining kama sutras."
98,case,"in the case of native lineage, particularly one not hampered by misplaced sympathies, the odds will improve signiﬁcantly."
99,conviction,the message can come across unambiguously: muslims’ religious conviction is a big fraud.
100,building,"within the sanctuary, 56  the eternal forough  she takes her readers on a fascinating tour of frozen seasons that come to life with the warmth of love and back to the ‘‘fragrant core of a fertilized egg.’’ the poem opens with the building of the basic structures of the sanctuary, the ‘‘forbidding walls’’ that might at ﬁrst seem to put her in captivity: now forbidding walls rise again in the silent night like plants; guarding the borders of my love’s state."
101,wall,but her approving tone shows that she has built the wall to protect her space.
102,where,"it is the beginning: return with me to that star return with me to that star far away from the frozen seasons of the earth and its ways to measure and understand where no one fears light 57  the eternal forough  but like all signiﬁcant journeys, the main move is to cross the inner borders and access the core of life itself."
103,where,"this is where the glow of life can be detected, because artiﬁcial compartmentalization has not yet prevailed."
104,charge,"the child born here can be jesus, the one who embodied the miracle of life: let me conceive by the moon in the safety of the night let me be ﬁlled by ﬁne raindrops; newly beating hearts by the weight of unborn infants perhaps my love could be the cradle for another jesus  58  3 my uncle the painter  once when my uncle was in charge of the army personnel o≈ce in shiraz of the 1960s, an o≈cer walked into his room and approached the desk with a note from an inﬂuential superior."
105,where,"he cared to know how much leave time they each had left, where they were stationed, and how they were fed and treated during their military service."
106,where,"no matter where i live, and what i do, that star is going to make me smile and ﬁnd my way."
107,term,"even then, this person who once taught math and science is not able to di√erentiate between the dishes that he lumps under the term ‘‘french’’ food (rlt, 54)."
108,repression,"for example, nassrin is convinced of her mother’s sexual repression and tells the crowd in the reading group she wishes her mom ‘‘would commit adultery or something’’ (rlt, 54)."
109,situation,"speaking of her father’s family, instead of ‘‘dad,’’ ‘‘grandma,’’ or ‘‘aunt,’’ which a girl in nassrin’s situation would use, she speaks of the man ‘‘whose sisters and mother all wore the chador’’ (rlt, 53)."
110,case,in case the term might be misread— and at times it has been—the muslim scripture makes a clear statement in this particular case.
111,death,the occasion i speak of was a rather large family gathering at which two relatives had started a passionate discussion over the recent death of a dear friend.
112,state,"he had, apparently, been a respected member of the shiraz baha¡i community, the religion that views itself as a natural, perfected, and ﬁnal state of islam."
113,locked,"that day, he must have sensed the confusion that i felt inside, because he said with a smile, as he bent over to o√er me a piece of his peach, ‘‘fortunately, our closet is not large enough to keep god locked up inside.’’ i do not think i understood all of what the joke meant at the time."
114,where,"as i grew older, my poets picked up where my uncle had left o√."
115,war,"a group of christian warriors sought salvation in recovering parts of the kingdom of christ— though christ had never preached war in his life—from the undeserving saracens, who now controlled a good deal of it."
116,killing,"horror stories, ranging from killing and destruction by the crusaders to burning young boys at the stake, were circulating (although, mercifully, no one could read the detailed reports of embedded journalists on-line the next day while the bodies were still warm)."
117,court,"the khan had sent emissaries to the court of khwarazm shah, a king who ruled over territories that are today mostly in northern and central iran."
118,killing,"though this might come as a shock, in the midst of all the killing and turbulence, a good deal of which was fueled by religious di√erence, attar managed to believe that non-muslims were not evil people."
119,building,"like the birds in the story who seek their king (a metaphor for the truth/god), you have to seek the truth during the journey that is your life by building on the smallest moments of manifestation that you personally uncover."
120,building,"so we reward scientists who give us the theoretical foundation for building things, engineers who translate these theories into actual tools, and business specialists who tell us how to sell what has been made."
121,power,"we understand moving forward in terms of the power to open up, unravel, and demystify."
122,death,credible academics are to keep altogether aloof on the subject unless they are interested in dissecting the divine that comes with the express agreement that death has occurred.
123,state,"for in their current state these societies have been disembodied of their treasures, which have been replaced with unrelenting religious fanaticism."
124,power,"‘‘there was such a teasing, playful quality to their words, such joy in the power of language to delight and astonish,’’ the book says of rumi, hafez, and attar."
125,death,"in that case, coming across the mournful announcement of the death of persian literature is, for you, the end of the story."
126,death,i am actually aware of one group particularly vulnerable to the new orientalist declaration of the death of culture and literature in contemporary iran.
127,guilt,the impact of this powerful narrative on most of us is such that the deepened sense of shame and guilt can be felt even in brief social encounters.
128,crimes,we stand a mere inch away from being perceived as accomplices in crimes against humanity.
129,where,"so, as members of the iranian american immigrant community here in the united states, we are not quite sure where to place our modern educated selves in relation to our part-impressive, part-shameful cultural heritage."
130,power,what has given the prayer rug the uncontested power to limit who he can be is the theory of the binary opposition i mentioned.
131,authority,"ghazali wrote with authority on many subjects and taught at the most prestigious university of his time, the nizamieh in baghdad."
132,suspect,"and in the unlikely event that he made the e√ort and understood ghazali, i suspect he would consider the great theologian an exception to his theory."
133,power,i am not suggesting here that ghazali places the power of human rationality above the divine power.
134,where,but that is where the misunderstanding begins: in looking at the two forces in a solely hierarchical relationship.
135,taken,"the interpretation can, in fact, be taken to a further, more radical conclusion."
136,authority,"¿aql, as far as they are concerned, is 76  my uncle the painter  this frowning, conceited authority that knows how to ﬁnd fault with things and whose presence is absolutely necessary."
137,question,a more interesting question is why the suﬁs give ¿ishq such complete supremacy.
138,building,many of the building blocks used to erect the ediﬁce are qur¡anic edicts.
139,state,"the qur¡an also declares that in preeternity god spoke to the seed of adam, the core essence of all our beings, and asked, ‘‘am i your lord?’’ according to muslim scripture, in that state of preexistential existence, we responded, ‘‘yes!’’ suﬁs label this brief exchange the covenant."
140,justice,all sojourners need peace and justice for themselves and others.
141,where,that is where the true di≈culty lies: what we need to remake and piece together is ourselves.
142,where,that is where the emerald of ¿ishq comes in handy to deter the dragon of doubt.
143,authorities,"¿ishq, however, reminded my uncle of the grave powers that come with the glory of a high-ranking position, particularly when the authorities at the top may not always be moving in the direction of your choosing."
144,where,"my uncle and his wife have since moved back to tehran, where their daughter and son live with their own families."
145,stretch,"we both knew that the prophetic attribution was a loving stretch of the imagination, meant to express his admiration and gratitude."
146,state,"her works were among the ﬁrst feminist-conscious enunciations that appeared in the post-revolutionary period in response to limitations imposed on women by the state ideology.’’ it goes on to list other prominent women writers such as ravanipur, behbahani, and danishvar who responded to these limitations with their unmistakable voices, and above all with their lush imaginations and creative energy."
147,state,"i would slightly rephrase the blurb: while parsipur’s writing pushed strongly against the ‘‘limitations imposed on women by the state ideology,’’ the signiﬁcance of her literary contributions transcends that."
148,taken,what kind of a girl has he taken her for?
149,trial,"and yet, the biggest trial women face in the deceptively changing world is not to understand what it is that everyone wants from them."
150,trial,the biggest trial is to remain themselves in the midst of the confusion and the chaos.
151,authority,"and because the authority in charge here is parsipur, not god or men, munis simply gets up and roams around the streets of tehran as if she had not died."
152,where,"after a month, she is calm, wise, and ready to pick up her life where she left o√."
153,murder,cooperation in murder does not produce the desired outcome.
154,war,"he visits iran from time to time and, during the last years of world war ii, brings his wife and two boys with him."
155,war,"then the war ends, and fakhr al-din takes his wife and children and returns to the united states."
156,state,"at the same time, the book judges the current state of the persian novel (which it does not examine) to be poor and considers the condition to be the literary implication of reality in persian society."
157,where,zarrinkulah ﬁnds a local bath where she will be given a private space of her own.
158,inside,she has all the holiness she needs inside her.
159,suspect,"in the café where she eats porridge for breakfast, she is ‘‘a little woman of twenty-six with a heart open like the sea.’’ no one would ever suspect that she once was a prostitute."
160,murder,"the women are saying, ‘‘we are here to stay, come oppression, murder or rape."
161,power,"we will pick up the pieces and move on.’’ one of the hideous universal tools used to bend women into obedience has always been the power of the taboo, the disgrace attached to disasters."
162,where,"well, not where parsipur calls the shots."
163,rape,"sure enough, there is a rape scene coming up."
164,case,"the journeys of women to karaj are not described in detail except in the case of munis and faizeh, who are raped by a truck driver and his assistant."
165,inside,i will go for a while then get myself inside a house.
166,inside,then go some more and get myself inside another house.
167,rape,"a prostitute can be holy if she chooses to be, and a woman can leave the painful, violent experience of rape behind and be whole again."
168,building,the pond in front of the building is large.
169,building,farrukhlaqa thinks that the building could use a touch-up and maybe some additional rooms because there will be many guests.
170,inside,a tree right inside the house?
171,taken,"farrukhlaqa asks why, if this woman is insane, has she not been taken to an asylum?"
172,wall,"‘‘we can plant the tree i was suggesting inside the house and 99  women without men  put a wall around this one to cover the disgrace from view,’’ ustuvari suggests."
173,inside,"back in the house, there is a revolution occurring inside farrukhlaqa."
174,inside,"as the baby grows inside her and munis and the gardener take care of her, zarrinkulah turns more beautiful and translucent by the day."
175,where,"when she gets bored, she takes a trip to tehran, where she accidentally passes by the house of amir, munis’s brother."
176,imprison,"one cannot imprison oneself in the kitchen for ever.’’ then she asks amir innocently, ‘‘you, for example, how long are you going to remain a simple civil servant?"
177,wall,zarrinkulah is hardly visible; the gardener is sitting by the wall mending his shoe.
178,where,then they go to the room where zarrinkulah is sitting in bed with breasts full of milk.
179,serving,"she has always seemed perfect: serving others, having nothing but goodness in her heart."
180,where,"one day the couple hold hands, sit on the lily, and head o√, though to where we do not really know."
181,where,i have led you from the summer nights of my childhood in shiraz to the high school where you met my friends zohreh and minoo.
182,building,"and who will deny that bridge building is the thing to do in this age of transnationalism fractured by fear of 109  the good, the missing, and the faceless  terrorist acts and erroneous perceptions of each other?"
183,war,part iii opens with reference to the iran-iraq war beginning in 1980.
184,war,"its literary focus is on james, his personality, and his lobbying americans to enter world war ii in support of britain."
185,executed,"like the rest of the book, this part makes many allusions to the misfortunes of the local population, including a female leftist student named razieh who is executed and an unnamed male student who burns himself to death."
186,war,"112  the good, the missing, and the faceless  flying airplanes into buildings, keeping prisoners of war out of reach of the law, beheading those who might vaguely sympathize with the ‘‘enemy,’’ setting o√ bombs in subway cars, and dragging the largest army of the world halfway across the globe to ﬁght imaginary weapons of mass destruction are signs of big trouble."
187,where,"ghomi (‘‘from the city of ghom,’’ where major religious seminaries are located) thinks daisy miller is evil and deserves to die (195)."
188,war,"similarly, when iraq attacks and the war starts, the ugly extort ‘‘undeserved privileges from the faculty’’ in the name of war e√orts."
189,case,"legal reform in areas related to gender is needed, as is also the case regarding the rights of religious minorities and election laws."
190,where,"the young and selfdemeaning revolutionary razieh tells her teacher, ‘‘you must think about where we are coming from."
191,question,"the enigmatic question is, ‘‘how could the book show no awareness of the presence of intelligent, vibrant, and complicated women in that society?’’ an array of exaggerated, tragic events befalls the women featured in rlt."
192,conviction,"if the account of the twelve-yearold girl shot to death as she ran around the prison asking for her mother is true, it will not be the ﬁrst time that ideological conviction overcame humanity (191)."
193,crime,"neither would anyone, even the most hard-line among the revolutionaries, wear that crime as a badge of honor."
194,execution,"we are told that mahtab, razieh’s friend who escaped execution and was released from jail, is worse o√ than her dead friend."
195,disaster,"the reader, therefore, moves from disaster to disaster without a mo116  the good, the missing, and the faceless  ment’s relief: compulsory wearing of the veil, seclusion, divorce, physical violence, genital mutilation!"
196,crime,"technically, rlt should not include this particular crime because it has never been practiced in iran."
197,punishment,"we are then told: ‘‘in some perverse way, the physical punishment was a source of satisfaction to her."
198,abuse,physical and psychological abuse of women is pervasive around the world.
199,abuse,rlt ’s concern over the physical and psychological abuse of women is justiﬁed.
200,death,"the ‘‘kid’’ is an honest, brilliant, loving, and courageous baha¡i boy whom we read about because of the death of his grandmother."
201,situation,"still, neither situation is desirable."
202,question,"conversely, a person with secularist tendencies (even my geneticist friend who will not question or reexamine his understanding of religion) can not be an absolutist."
203,taken,the second problem is that studies of life in postrevolutionary iran do not justify excluding the lively gender debates that have taken place in the country among men and women of all backgrounds.
204,authorities,"according to rlt, the myth of islamic feminism was perpetuated by the authorities because it ‘‘enabled the rulers to have their cake and eat it too: they could claim to be progressive and islamic’’ at the same time (262)."
205,law,matters related to islamic law are particularly inaccurate.
206,law,isn’t this the same law that allows my husband to beat me and take my daughter away?’’ (318).
207,court,"currently, physical abuse a√ords legal ground for divorce in iran; and child custody is not automatically given to either parent (except in the case of girls, who remain with their mothers until the age of seven, when the court rules on custody)."
208,court,"i have divorced friends in the united states who cannot leave the state in which they live without informing the court of their move, whereas their exhusbands—even if they were the ones who walked out of the marriage and away from the child—do not have that obligation."
209,case,worse still is the case of a friend who lived for years after her divorce in the horror of harm coming to her young daughter.
210,law,"in iran, too, there are extreme and relaxed approaches to dietary law as well as to other issues."
211,power,"the islamic regime, which came to power with the 1979 revolution, was a political governing force driven by the totalizing vision of the revolution, focused on establishing its hegemony over a diverse society."
212,war,"when the iran-iraq war ended in 1988, ﬁnally a little room was opened for the larger public to put the idea of reform on the agenda."
213,power,they complain about the unequal distribution of power in the world.
214,law,"when the law of the land prevents certain candidates from competing in the iranian elections, reformists are jailed, and newspapers are closed, these people feel deeply hurt."
215,wall,"they go about living a quiet, humane, honorable life; no one gets to hear about them because they do not write slogans on the wall or attach bombs to themselves."
216,question,discussing them at length is out of the question here.
217,freedom,"a line of speed and fire, paper dress, and a windowful of freedom are among her latest collections."
218,law,"in the area of law and human rights, nobel laureate shirin ebadi is a person to remember."
219,lawyer,"a lawyer by profession, ebadi was known to iranians for her e√orts to improve the rights of women and children long before she received her nobel prize."
220,crime,"she rose to further prominence due to her willingness to serve in a series of extremely sensitive, high-proﬁle cases of political crime that involved the assassination of iranian intellectuals."
221,murder,"at the same time, she lavished equal attention on a murder case involving a young girl of modest background."
222,where,"he rose to prominence in the west with his 1978 ﬁlm where is the friend’s house, inspired by a poem with the same title by the renowned contemporary iranian poet sohrab sepehri."
223,taken,"karim emami was taken from us by leukemia, the disease that also claimed edward said, one of the greatest minds in twentieth-century social and literary criticism and the ﬁrst to pay critical attention to the phenomenon of orientalism."
224,civil rights,"many of the ﬁgures mentioned here speak up against oppression in an e√ort to improve human and civil rights in iran, but they remain equally critical of the west."
225,jailed,"in the novel invitation to a beheading, which rlt showcases, the jailer invites the jailed protagonist cincinnatus to a dance."
226,jailer,cincinnatus enjoys the attention from the jailer so much that he regrets the ending of the ‘‘friendly embrace’’ when the dance ends.
227,prisoner,"the interpretation given for this is that ‘‘as long as he accepts the sham world the jailers impose upon him, cincinnatus will remain their prisoner and will move within the circles of their creation’’ (76)."
228,jailer,"ironically, rlt has created a world parallel to that of cincinnatus’s jailer for the american reader."
229,jailer,"to get an independent, balanced, and fair perspective on the subjects discussed in the book, the reader needs to stop dancing with the jailer and break out of rlt ’s exaggerated world."
230,question,"they, the americans, have a dream: they feel nostalgic about the promise of the future.’’ before the reader can question the validity of her sweeping characterizations of two entire cultures (one looking forward and one looking back), the memoir bolsters this dichotomy with statements of approval (or coveting) by the natives themselves."
231,case,"responding to accusations of spying for the cia on the part of a certain professor z, the author declares: ‘‘i told him [the accuser] they had no proof that the gentleman in question was a cia agent, and in any case i doubted that the cia would be foolish enough to employ someone like him’’ (119)."
232,crimes,"with no mention of the public disapproval for the incident, we read the caricatured descriptions of picnics outside the occupied embassy amid shouts of ‘‘death to america!’’ the reader is then told, ‘‘a tent was raised on the sidewalk ﬁlled with propaganda against america exposing its crimes around the world’’ (104)."
233,war,"miss ruhi, one of the most ‘‘menacing’’ muslim women activists in rlt, confesses that she has given her daughter a ‘‘secret name.’’ this woman, who has spent the last two decades of her life among any number of revolutionary ﬁgures and iran-iraq war casualties is short of heroes and therefore names her daughter daisy, after daisy miller."
234,where,"(328) if despite the love lavished on america we are not sure exactly where the author’s sympathy lies, rlt provides a hint."
235,taken,"what more could we ask of the guide who has taken us into a hidden, magical world belonging to a totally di√erent other?"
236,felony,"no classic felony is left out (particularly those committed against muslim women): degradation, wife beating, rape, ﬂogging, shooting, molestation, and more."
237,where,"consider the last section on austen, where two and a half pages are lavished on setting up and describing a dance scene."
238,case,"her body quivers as she takes her small steps and dances with her ﬁngers and her hands.’’ in case we forget the innocence and fragility at the core of the sexual transformation taking place in front of us, the commentary adds, ‘‘a special look has appeared on her face."
239,power,"it is daring and beckoning.’’ not so natural or innocent either—it is ‘‘designed to attract, to pull in, but at the same time it retracts and refracts with power.’’ however, this is a power that ‘‘she loses as soon as she stops dancing.’’ her power of sexual allure notwithstanding, sanaz is the same helpless fawn you have been reading about so far (265)."
240,sentence,"in case we consider this a normal dance, and thereby miss the otherness of the performer, the author clariﬁes: ‘‘there are di√erent forms of seduction, and the kind i have witnessed in persian dancers is so unique, such a mixture of subtlety and brazenness, i cannot ﬁnd a western equivalent to compare to it.’’ the next sentence might as well be the portrait in an odalisque painting by an eighteenth-century european artist, torturing his imagination to depict the ‘‘essence’’ of all oriental women regardless of who they are."
241,case,"this seduction is ‘‘elusive.’’ it is ‘‘sinewy’’ and ‘‘tactile.’’ it ‘‘twists, twirls, winds, and unwinds.’’ please do not take this as simple feminine charm; ‘‘it is calculated, it predicts its e√ect before another little step is taken, and then another little step.’’ in case the description is not othering enough, the point is reiterated: ‘‘it is ﬂirtatious in a way miss daisy miller and her likes could never dream of being’’ (266)."
242,war,"the iranians going to war are described as ‘‘very young and caught up in the government propaganda that o√ered them a heroic and adventurous life at the front and encouraged them to join the militia, even against their parents’ wishes’’ (208)."
