,Key,Line
53,where,"in retrospect, there should have been a postlecture round table where the author would listen to comments from a smaller audience who had read the book with special attention."
54,question,"and i could have taken o√ my hostess’s hat to ask the question that had been on my mind all along: if world literary masterpieces are so entirely universal, what is so remarkable about reading lolita in the city of tehran?"
55,guilt,others would develop a deep sense of guilt.
56,custody,it was as if the image of an entire nation had been placed in my custody.
57,where,where did you get it?’’ he most probably had forgotten the joke he had played on me at lunch altogether.
58,question,"i ignored the question and refreshed his memory: ‘‘do you know where this spoon was made?’’ ‘‘well, the caption says 500 bce iran."
59,war,"you will see, once you put the two incidents together, how i was arriving at a sad and inevitable conclusion: whether i wanted it or not, i had entered a cultural war zone."
60,question,she spent the next half-hour trying to explain to me what signs of the zodiac were amidst my frantic attempts to clarify that that was not my question.
61,pleaded,"finally, exasperated with her own failure to make me understand her point, she pleaded with her son, ‘‘perhaps, you can tell fatemeh what a sign of the zodiac is.’’ he mumbled a few unclear words and quickly suggested that the three of us take a walk in the garden so that we could enjoy the beautiful autumn afternoon before dark."
62,situation,but the situation was rather awkward.
63,where,the beauty of the painting and the possible age of the manuscript were so striking that i quickly closed the book and put it back where i had picked it up.
64,question,"in the brief question and answer following the talk, one iranian american described the day as being the proudest of her life."
65,case,"in the case of present-day iran, the recent nuclear dispute adds immediacy to the sense of threat."
66,poverty,"was it 29  the jasmine, the stars, & the grasshoppers  poverty, a lack of education, personal devotion?"
67,case,"when the baby was born, the family watched her growth in case the fasting had hurt her."
68,where,"only after i lived elsewhere did i realize that my students can learn from the fact that our poets lived outside books and literature classes, that when i was feeling low i would visit the garden where my favorite fourteenthcentury ghazal writer, hafez, was buried instead of drinking or isolating myself."
69,punishment,next she would search her mind for a really bad punishment.
70,question,"i bent over and whispered in her ear, ‘‘maman, do you want me to read you some poetry?’’ i was ready to repeat the question at least three or four times."
71,where,"‘‘where are you, sa¿di?’’ i thought."
72,death,"farrokhzad was in real life the same as she had been in her poetry—bold, imaginative, curious, 33  the eternal forough  full of the urge to live, and certainly not afraid of death."
73,death,"and yet, now that i think about that day, the most amazing part of it was not that a physics teacher considered it important to share the news of a poet’s death with his ﬁfteen-year-old students."
74,death,"the most amazing thing is that when he announced farrokhzad’s death not a single one of us said, ‘‘who is forough farrokhzad?’’ no doubt some of us had read her more extensively than others, but everyone knew who she was."
75,captive,"indeed, this would be an exceptional fairy princess, one whose robust presence did not remain captive to legends."
76,power,"a book celebrating the power of literature, set in contemporary iran, and written by a professor of literature—all of which describe reading lolita in tehran (rlt )—would seem to be the most likely source for reading about an iranian woman poet of farrokhzad’s import."
77,war,neither would the book clarify that living in the immediate aftermath of a revolution and a war might explain the shifting of attention in the 1980s to matters more pressing than literature.
78,war,"i did not buy the book, so i cannot comment on how good the 36  the eternal forough  translation was, but its existence alone indicated an audience eager to read eco’s master work even in the war-stricken iran of the late 1980s."
79,where,the issue here is that a lack of speciﬁcity turns rlt into the dark house where the reader has little choice but to feel his or her way around the elephant that is postrevolutionary iran.
80,where,"he fostered discussion, valued our opinions, and gave us each a gift that we carry to this day: the desire to look for candles no matter where they might be."
81,middle ages,"exasperated by western ‘‘scholarly’’ studies of the reasons for our lagging behind, we know in our guts that something went wrong for muslim civilization to have come crashing down after its glory in the middle ages."
82,guilt,"this decontextualized and ahistorical tale of our ‘‘failure,’’ which always included a healthy dose of shame and self-doubt, has been further seasoned with guilt after 9/11."
83,freed,"apparently, we had had post o≈ces when no one else had; we had minted coins before others had thought of the idea; and cyrus the great had freed the captive jews of babylon, which meant we were genetically puriﬁed of racial prejudice forever."
84,conviction,"what is more, she had the guts to say it out loud with the biting humor that came with conviction."
85,state,"in a poem called ‘‘the bejeweled land’’ she lashed out at the state propaganda machine: o, how comfortable i am in the loving arms of the motherland!"
86,law,"the paciﬁer of the glorious historical past the lullaby of civilization and culture and the rattling noise of the ratchet of law o, how comfortable i am!"
87,state,"in this infantile state of induced ‘‘happiness,’’ the resident of the bejeweled land incidentally recognized everything that was wrong with the 40  the eternal forough  country of the roses and nightingales."
88,guilty,"it is a question that mostly puzzles my western audience but might, in fact, concern those who share my cultural heritage as well, particularly those who nurse a self guilty of backwardness."
89,question,"the question is this: how could a person as complicated and open as farrokhzad be so widely read and appreciated in a country such as iran, a place with centuries of patriarchy, a relatively high rate of illiteracy, and a deeply traditional culture?"
90,notorious,"i talked about everything from the book of the year and our notorious festival of art, jashne honar, to letters and phone calls from the audience."
91,case,in fact i kept a tape recorder under the front seat of my car in case i happened to run into an interesting person to interview.
92,taken,in fact he had taken care to be dressed properly for the occasion.
93,question,what a thoughtless question—of course he had!
94,taken,"living in an undemocratic society, for example, is taken as a sign of inferiority and lack of intelligence."
95,question,no one ever taught them to question things!
96,deprivation,"the saddest part is not degrading two-thirds of the world, but the self-deprivation of the onethird that views itself as too superior to learn from traditional societies."
97,power,the sense of freedom and power was exciting.
98,where,"the chancellor left as soon as the show ended, and i started looking around to ﬁnd out where m. was hiding."
99,question,"despite all my intellectual capacity and ambition, it had never occurred to me to question my aunt’s projection."
100,power,such is the power of accepted tradition in all cultures.
101,power,the traditions di√er but the power remains the same.
102,war,"little did i know that a war would break out between iran and iraq and i would not see my daughter, only eight years old at the time, for another seven years."
103,where,"it very much mattered, now that i had divorced, where i lived, when i came home, and whom i was seen with."
104,disaster,"she was, and still is, the embodiment of the concept of ‘‘being there for you.’’ besides, she could always think clearly no matter what disaster we had to deal with."
105,wall,"when divorce-related frustrations drove me up the wall, i would call minoo to meet."
106,county,"she was now living in orange county, california, and was part of a feminist reading group that met monthly to discuss their latest reading."
107,building,"for the next hour we just held hands and walked around the building in silence, aimless and dizzy with joy."
108,sentence,we could still say to each other in one sentence what we would explain to others in a paragraph.
109,sink,"they could open their eyes to see her for who she was, or close them and sink into their distorted fantasies."
110,abuse,"human sexuality is complicated and detecting its abuse is a challenge, particularly during times that bring shifts in cultural values."
111,abuse,"for example, nassrin, one of the students, remembers a painful incident of abuse at age eleven by a young uncle."
112,crime,"the reader, predisposed to accept the stereotype of the muslim male as a sexual oppressor, is unlikely to question the relevance of this individual crime to the overall bankruptcy attributed to muslim morality."
113,death,"his death, therefore, brought a sadness tinted with fear and uncertainty."
114,guilt,"rlt describes the chanting, breast beating, and crying for taleqani not with reference to their exaggerated expression of grief but as ‘‘the desperate, orgiastic pleasure of this form of public mourning.’’ the crowd’s twisted intention is summed up when the mourning ceremony is depicted as ‘‘the one place where people mingled and touched bodies and shared emotions without restraint or guilt.’’ the reader is told of a ‘‘wild, sexually ﬂavored frenzy in the air’’—‘‘wild,’’ the magical word that captures the crude, primitive, and dangerous all at once (rlt, 90)."
115,seclusion,many scholars of the middle east (themselves of western or eastern origin) have interrupted the romantic image of the oppressed female in seclusion by showing that some women might in fact choose to wear the veil.
116,war,or is this because of the war—we are supposed to see the extremes and the exaggerated?
117,wall,it depicted an entire wall covered with hundreds of little posters of one of the candidates in clerical outﬁt and a single woman passing by rather closer to the camera than the posters and apparently indi√erent to both.
118,law,"yes, women would like to reform electoral law and various other legal codes in iran to get better representation, and, yes, they are still involved in various struggles to improve their lot."
119,case,"what subject could be more interesting than women, and in this case they seemed to have selected a very relevant topic."
120,exercise,"alice has a naturally beautiful body she takes care of well by dancing, exercise, and good eating."
121,guilty,it is our way of coming to terms with di√erences.’’ it is a very interesting observation and her way of saying we are guilty of the same thing ourselves.
122,freedom,"the latest publication in this genre is the almond, ‘‘a semi-autobiographical exploration of sexual freedom’’ that, according to one of our national newspapers, ‘‘has sold 50,000 copies in france since editions plon brought it out last year."
123,repression,"but of course, our forty-something north african author, who goes by the pseudonym nedjma, has a purpose grander and nobler than ‘‘a desire to titillate.’’ as she said in a recent interview, ‘‘by portraying a woman enjoying the pleasures of the ﬂesh,’’ she wanted to both ‘‘celebrate the body as an expression of life and to strike a blow against the centuries-old repression of muslim women.’’ please feel free not to be surprised."
124,abuse,nedjma is not the ﬁrst writer to abuse the sexual intrigue associated with the mistreated eastern woman.
125,taken,"if the newspaper reporter who wrote about the book had taken the trouble to do his homework he would have found numerous arabic works on sex and sexuality, ranging from purely technical and medical guides, to sociopolitical or ethical approaches, to entertaining kama sutras."
126,case,"in the case of native lineage, particularly one not hampered by misplaced sympathies, the odds will improve signiﬁcantly."
127,authority,you are the authority.
128,poverty,"before we catch our breath, she has turned into a sociologist: ‘‘the arab world is like a sick old man, consumed by gangrene, illiteracy, poverty, dictatorships, fundamentalism.’’ then she adds a touch of psychology: ‘‘love is only possible when women realize they are not there to be legally raped and men understand that a woman is 55  the eternal forough  not a slave or an inferior being.’’ and here comes the personally contributed discipline of psychohistory, presumably based on her observations of people in her native north african hometown."
129,conviction,the message can come across unambiguously: muslims’ religious conviction is a big fraud.
130,state,"within the sanctuary, 56  the eternal forough  she takes her readers on a fascinating tour of frozen seasons that come to life with the warmth of love and back to the ‘‘fragrant core of a fertilized egg.’’ the poem opens with the building of the basic structures of the sanctuary, the ‘‘forbidding walls’’ that might at ﬁrst seem to put her in captivity: now forbidding walls rise again in the silent night like plants; guarding the borders of my love’s state."
131,wall,but her approving tone shows that she has built the wall to protect her space.
132,where,"it is the beginning: return with me to that star return with me to that star far away from the frozen seasons of the earth and its ways to measure and understand where no one fears light 57  the eternal forough  but like all signiﬁcant journeys, the main move is to cross the inner borders and access the core of life itself."
133,where,"this is where the glow of life can be detected, because artiﬁcial compartmentalization has not yet prevailed."
134,charge,"the child born here can be jesus, the one who embodied the miracle of life: let me conceive by the moon in the safety of the night let me be ﬁlled by ﬁne raindrops; newly beating hearts by the weight of unborn infants perhaps my love could be the cradle for another jesus  58  3 my uncle the painter  once when my uncle was in charge of the army personnel o≈ce in shiraz of the 1960s, an o≈cer walked into his room and approached the desk with a note from an inﬂuential superior."
135,power,"but this is how i want you to meet my maternal uncle the painter, in his elegant military uniform, completely unimpressed with corrupt power."
136,death,"he was a master of light and shade, but there are no bright days in his landscapes after her death."
137,where,"he cared to know how much leave time they each had left, where they were stationed, and how they were fed and treated during their military service."
138,case,"if that were not the case, it would be an unreal country, an invented place, a fantasy."
139,where,"no matter where i live, and what i do, that star is going to make me smile and ﬁnd my way."
140,conviction,it is not clear why nassrin feels her father’s act of marrying her mother is a betrayal of her and her family as well as his own religious conviction.
141,term,"even then, this person who once taught math and science is not able to di√erentiate between the dishes that he lumps under the term ‘‘french’’ food (rlt, 54)."
142,repression,"for example, nassrin is convinced of her mother’s sexual repression and tells the crowd in the reading group she wishes her mom ‘‘would commit adultery or something’’ (rlt, 54)."
143,situation,"speaking of her father’s family, instead of ‘‘dad,’’ ‘‘grandma,’’ or ‘‘aunt,’’ which a girl in nassrin’s situation would use, she speaks of the man ‘‘whose sisters and mother all wore the chador’’ (rlt, 53)."
144,case,in case the term might be misread— and at times it has been—the muslim scripture makes a clear statement in this particular case.
145,death,the occasion i speak of was a rather large family gathering at which two relatives had started a passionate discussion over the recent death of a dear friend.
146,state,"he had, apparently, been a respected member of the shiraz baha¡i community, the religion that views itself as a natural, perfected, and ﬁnal state of islam."
147,locked,"that day, he must have sensed the confusion that i felt inside, because he said with a smile, as he bent over to o√er me a piece of his peach, ‘‘fortunately, our closet is not large enough to keep god locked up inside.’’ i do not think i understood all of what the joke meant at the time."
148,where,"as i grew older, my poets picked up where my uncle had left o√."
149,where,"it gives men of mr. bahri’s type a level of supremacy that makes loving male family members, teachers, cousins, neighbors, or colleagues invisible, unimaginable to the point that the reader does not even think to ask, ‘‘where are they?’’ the chapter that you are reading, then, is my brief counter-orientalist narration of decent iranian manhood, and it is dedicated to my uncle."
150,war,"a group of christian warriors sought salvation in recovering parts of the kingdom of christ— though christ had never preached war in his life—from the undeserving saracens, who now controlled a good deal of it."
151,killing,"horror stories, ranging from killing and destruction by the crusaders to burning young boys at the stake, were circulating (although, mercifully, no one could read the detailed reports of embedded journalists on-line the next day while the bodies were still warm)."
152,court,"the khan had sent emissaries to the court of khwarazm shah, a king who ruled over territories that are today mostly in northern and central iran."
153,killing,"though this might come as a shock, in the midst of all the killing and turbulence, a good deal of which was fueled by religious di√erence, attar managed to believe that non-muslims were not evil people."
154,inside,god told him to go to a certain obscure temple in anatolia and look inside.
155,situation,"if you display kindness in an antagonistic situation, someone present will give you a smile and a compliment ﬁt for prophets: ‘‘you have come in order to connect.’’ obviously not all iranians or muslims share the openness and clarity of vision that attar and rumi display."
156,building,"like the birds in the story who seek their king (a metaphor for the truth/god), you have to seek the truth during the journey that is your life by building on the smallest moments of manifestation that you personally uncover."
157,building,"so we reward scientists who give us the theoretical foundation for building things, engineers who translate these theories into actual tools, and business specialists who tell us how to sell what has been made."
158,power,"we understand moving forward in terms of the power to open up, unravel, and demystify."
159,death,credible academics are to keep altogether aloof on the subject unless they are interested in dissecting the divine that comes with the express agreement that death has occurred.
160,state,"for in their current state these societies have been disembodied of their treasures, which have been replaced with unrelenting religious fanaticism."
161,power,"‘‘there was such a teasing, playful quality to their words, such joy in the power of language to delight and astonish,’’ the book says of rumi, hafez, and attar."
162,case,"in that case, coming across the mournful announcement of the death of persian literature is, for you, the end of the story."
163,death,i am actually aware of one group particularly vulnerable to the new orientalist declaration of the death of culture and literature in contemporary iran.
164,guilt,the impact of this powerful narrative on most of us is such that the deepened sense of shame and guilt can be felt even in brief social encounters.
165,crimes,we stand a mere inch away from being perceived as accomplices in crimes against humanity.
166,where,"so, as members of the iranian american immigrant community here in the united states, we are not quite sure where to place our modern educated selves in relation to our part-impressive, part-shameful cultural heritage."
167,power,what has given the prayer rug the uncontested power to limit who he can be is the theory of the binary opposition i mentioned.
168,authority,"ghazali wrote with authority on many subjects and taught at the most prestigious university of his time, the nizamieh in baghdad."
169,suspect,"and in the unlikely event that he made the e√ort and understood ghazali, i suspect he would consider the great theologian an exception to his theory."
170,power,i am not suggesting here that ghazali places the power of human rationality above the divine power.
171,where,but that is where the misunderstanding begins: in looking at the two forces in a solely hierarchical relationship.
172,taken,"the interpretation can, in fact, be taken to a further, more radical conclusion."
173,authority,"¿aql, as far as they are concerned, is 76  my uncle the painter  this frowning, conceited authority that knows how to ﬁnd fault with things and whose presence is absolutely necessary."
174,question,a more interesting question is why the suﬁs give ¿ishq such complete supremacy.
175,building,many of the building blocks used to erect the ediﬁce are qur¡anic edicts.
176,state,"the qur¡an also declares that in preeternity god spoke to the seed of adam, the core essence of all our beings, and asked, ‘‘am i your lord?’’ according to muslim scripture, in that state of preexistential existence, we responded, ‘‘yes!’’ suﬁs label this brief exchange the covenant."
177,punishment,"this is not about sin, obedience, or punishment."
178,justice,all sojourners need peace and justice for themselves and others.
179,where,that is where the true di≈culty lies: what we need to remake and piece together is ourselves.
180,where,that is where the emerald of ¿ishq comes in handy to deter the dragon of doubt.
181,authorities,"¿ishq, however, reminded my uncle of the grave powers that come with the glory of a high-ranking position, particularly when the authorities at the top may not always be moving in the direction of your choosing."
182,police,this unrest was manifested at ﬁrst in sporadic confrontations with the shah’s armed forces and secret police.
183,jailed,"while participants in armed struggle were arrested, jailed, or executed, attempts were also made to alleviate the discontent by introducing minor political reform into the system."
184,where,"my uncle and his wife have since moved back to tehran, where their daughter and son live with their own families."
185,stretch,"we both knew that the prophetic attribution was a loving stretch of the imagination, meant to express his admiration and gratitude."
186,thief,"then she turned to both of us rather suddenly, saying, ‘‘no one climbs up my window—not a thief, not a lover!’’ we laughed."
187,state,"her works were among the ﬁrst feminist-conscious enunciations that appeared in the post-revolutionary period in response to limitations imposed on women by the state ideology.’’ it goes on to list other prominent women writers such as ravanipur, behbahani, and danishvar who responded to these limitations with their unmistakable voices, and above all with their lush imaginations and creative energy."
188,state,"i would slightly rephrase the blurb: while parsipur’s writing pushed strongly against the ‘‘limitations imposed on women by the state ideology,’’ the signiﬁcance of her literary contributions transcends that."
189,taken,what kind of a girl has he taken her for?
190,trial,"and yet, the biggest trial women face in the deceptively changing world is not to understand what it is that everyone wants from them."
191,trial,the biggest trial is to remain themselves in the midst of the confusion and the chaos.
192,question,"in women without men, the protagonists have asked and answered that question."
193,power,"the ordinariness they share with each other, and with many women elsewhere in the world, gives them a great power."
194,law,"she risks being killed just so she can at last air her frustration about her sister-in-law, parvin, who has not been appreciative of her kindness and her cooking."
195,law,faizeh’s sister-in-law has accused her of not being a virgin.
196,hole,one thinks the word refers to a sheet and the other to a hole.
197,case,"in this case, ignorance is not the worst problem either."
198,hole,now it turns out to be a hole!
199,authority,"and because the authority in charge here is parsipur, not god or men, munis simply gets up and roams around the streets of tehran as if she had not died."
200,where,"after a month, she is calm, wise, and ready to pick up her life where she left o√."
201,crime,faizeh ﬁnds him with the body and helps cover up the crime.
202,murder,cooperation in murder does not produce the desired outcome.
203,death,"back to the story, faizeh is devastated by the news of amir’s marriage to another woman, and munis returns from her second death, only stronger than before."
204,law,"the ﬁrst thing she tells faizeh is that despite her round face, she was never stupid, and the second is that faizeh should learn to live with her sister-in-law parvin being a better cook than she."
205,war,"he visits iran from time to time and, during the last years of world war ii, brings his wife and two boys with him."
206,war,"then the war ends, and fakhr al-din takes his wife and children and returns to the united states."
207,building,"building on this faulty foundation, rlt adds a number of its own assumptions."
208,state,"at the same time, the book judges the current state of the persian novel (which it does not examine) to be poor and considers the condition to be the literary implication of reality in persian society."
209,where,where do we place them in our perception of democratic societies?
210,case,not in rumi’s case.
211,where,zarrinkulah ﬁnds a local bath where she will be given a private space of her own.
212,inside,"when they open the doors of the shrine in the morning, she does not go inside."
213,inside,she has all the holiness she needs inside her.
214,suspect,"in the café where she eats porridge for breakfast, she is ‘‘a little woman of twenty-six with a heart open like the sea.’’ no one would ever suspect that she once was a prostitute."
215,where,she asks the café owner: —where would one go to ﬁnd cool drinking water so late in the summer?
216,rape,"the women are saying, ‘‘we are here to stay, come oppression, murder or rape."
217,power,"we will pick up the pieces and move on.’’ one of the hideous universal tools used to bend women into obedience has always been the power of the taboo, the disgrace attached to disasters."
218,where,"well, not where parsipur calls the shots."
219,rape,"sure enough, there is a rape scene coming up."
220,case,"the journeys of women to karaj are not described in detail except in the case of munis and faizeh, who are raped by a truck driver and his assistant."
221,inside,i will go for a while then get myself inside a house.
222,inside,then go some more and get myself inside another house.
223,rape,"a prostitute can be holy if she chooses to be, and a woman can leave the painful, violent experience of rape behind and be whole again."
224,assault,so munis and faizeh continue toward karaj in spite of the assault.
225,rape,"he does not ﬁnd out about the rape, survives the truck accident, and, of course, carries on with his own trip to karaj."
226,building,the pond in front of the building is large.
227,building,farrukhlaqa thinks that the building could use a touch-up and maybe some additional rooms because there will be many guests.
228,inside,a tree right inside the house?
229,building,as they go around the house ustuvari tries to overcome his agitation by showing the advantages of the building.
230,wall,"ustuvari comments, ‘‘as you see ma’am, this side of the garden does not have a wall."
231,question,"now he has to answer 98  women without men  the question, ‘‘who is this?’’ well, who is this?"
232,taken,"farrukhlaqa asks why, if this woman is insane, has she not been taken to an asylum?"
233,pleaded,"‘‘no ma’am she isn’t,’’ he explains, ‘‘and i have not cried in twenty years but whenever i see her i can’t stop myself.’’ the family has tried to uproot her, but the tree has pleaded, ‘‘please, please don’t cut me."
234,wall,"‘‘we can plant the tree i was suggesting inside the house and 99  women without men  put a wall around this one to cover the disgrace from view,’’ ustuvari suggests."
235,inside,"back in the house, there is a revolution occurring inside farrukhlaqa."
236,inside,"as the baby grows inside her and munis and the gardener take care of her, zarrinkulah turns more beautiful and translucent by the day."
237,where,"when she gets bored, she takes a trip to tehran, where she accidentally passes by the house of amir, munis’s brother."
238,imprison,"one cannot imprison oneself in the kitchen for ever.’’ then she asks amir innocently, ‘‘you, for example, how long are you going to remain a simple civil servant?"
239,wall,zarrinkulah is hardly visible; the gardener is sitting by the wall mending his shoe.
240,where,then they go to the room where zarrinkulah is sitting in bed with breasts full of milk.
241,building,"on the way back to the building, something unusual happens."
242,serving,"she has always seemed perfect: serving others, having nothing but goodness in her heart."
243,where,"one day the couple hold hands, sit on the lily, and head o√, though to where we do not really know."
244,illegal,"instead, the book takes the rich and complicated story of postrevolutionary iran and reduces it to the image of the blind man whose job was to censor movies and the ten-year-old who felt his dreams were ‘‘illegal’’ (rlt, 46)."
245,taken,"as for iranian women, their life story cannot be so easily ‘‘taken from them,’’ as the book suggests (rlt, 41)."
246,where,i have led you from the summer nights of my childhood in shiraz to the high school where you met my friends zohreh and minoo.
247,building,"and who will deny that bridge building is the thing to do in this age of transnationalism fractured by fear of 109  the good, the missing, and the faceless  terrorist acts and erroneous perceptions of each other?"
248,war,part iii opens with reference to the iran-iraq war beginning in 1980.
249,war,"its literary focus is on james, his personality, and his lobbying americans to enter world war ii in support of britain."
250,executed,"like the rest of the book, this part makes many allusions to the misfortunes of the local population, including a female leftist student named razieh who is executed and an unnamed male student who burns himself to death."
251,camp,the extremists’ perception of the universe as a black-and-white world of inﬁdelity and faith is replicated by rlt ’s oversimpliﬁed world that posits good on the side of the west and evil squarely in the muslim camp.
252,war,"112  the good, the missing, and the faceless  flying airplanes into buildings, keeping prisoners of war out of reach of the law, beheading those who might vaguely sympathize with the ‘‘enemy,’’ setting o√ bombs in subway cars, and dragging the largest army of the world halfway across the globe to ﬁght imaginary weapons of mass destruction are signs of big trouble."
253,where,"ghomi (‘‘from the city of ghom,’’ where major religious seminaries are located) thinks daisy miller is evil and deserves to die (195)."
254,serving,"whether their goals are absolutist and self-serving or not, ‘‘they’’ are unable to attain them."
255,death,"they all lie, even those who come to mourn ayatollah khomeini’s death, since alongside the frenzy of beating chests and fainting they sit on the roadside to eat their sandwiches and drink their soft drinks as if they were on some kind of holiday or picnic."
256,war,"similarly, when iraq attacks and the war starts, the ugly extort ‘‘undeserved privileges from the faculty’’ in the name of war e√orts."
257,executed,"the relatively more acceptable revolutionary student razieh—more acceptable because she is later executed—is full of 114  the good, the missing, and the faceless  anger and hatred."
258,authority,"women although the ugly are all backward, subhuman, and ready to surrender to authority, women in rlt are particularly so."
259,case,"legal reform in areas related to gender is needed, as is also the case regarding the rights of religious minorities and election laws."
260,where,"the young and selfdemeaning revolutionary razieh tells her teacher, ‘‘you must think about where we are coming from."
261,question,"the enigmatic question is, ‘‘how could the book show no awareness of the presence of intelligent, vibrant, and complicated women in that society?’’ an array of exaggerated, tragic events befalls the women featured in rlt."
